Repository,Count
VOICEVOX/voicevox,10
open-learning-exchange/myplanet,8
UNLV-CS472-672/2024-S-GROUP3-Barbell,7
VOICEVOX/voicevox_core,5
darklang/dark,4
faker-js/faker,4
theta-limited/openathenaandroid,4
ggerganov/llama.cpp,3
pyspark-ai/pyspark-ai,3
pokt-network/poktroll,3
VOICEVOX/voicevox_engine,3
nishiki-tech/nishiki-frontend,3
GaloyMoney/galoy-mobile,3
UNLV-CS472-672/2024-S-GROUP1-Roadwatch,3
ubiquity/ubiquibot,2
BitBoxSwiss/bitbox-wallet-app,2
hackforla/CivicTechJobs,2
annuaire-entreprises-data-gouv-fr/site,2
viets-software-club/truffle-ai-backend,2
plausible/analytics,2
netdata/netdata,2
VyProductions/SeniorDesign,2
primer-io/primer-sdk-ios,2
dantol29/webserver,2
voicevox/voicevox,2
chatwoot/chatwoot,2
PolicyEngine/policyengine-us,2
SharezoneApp/sharezone-app,2
polywrap/evo.ninja,2
alcionai/corso,2
SSWConsulting/SSW.Rules.Content,2
customerio/gist-web,1
SuffolkLITLab/docassemble-AssemblyLine-documentation,1
lfortran/lfortran,1
joke2k/faker,1
kube-hetzner/terraform-hcloud-kube-hetzner,1
ubiquibot/conversation-rewards,1
VOICEVOX/pyopenjtalk,1
kbss-cvut/fta-fmea-ui,1
openai/evals,1
digitalbitbox/bitbox-wallet-app,1
rotary-genomics/rotary,1
jawordpressorg/core-handbook,1
skypilot-org/skypilot,1
raspiblitz/raspiblitz,1
camel-ai/camel,1
maybe-finance/maybe,1
boostcampwm2023/web15-BaekjoonRooms,1
sablier-labs/v2-core,1
marqo-ai/marqo,1
vigneshp25/VigneshAngularProject,1
gradle/gradle,1
TeamCodeStream/codestream,1
hvdv99/DataBridge,1
testsigmahq/testsigma-docs,1
open-truss/open-truss,1
unoplatform/uno,1
whatwg/urlpattern,1
AdamAkiva/dashboard,1
Ludeon/RimWorld-ru,1
codecrafters-io/frontend,1
Zekarant/Mangas-Fan-V8,1
wavlake/catalog,1
dswcodes0/StatChat,1
40LF0/couple_project_backend,1
zauberzeug/nicegui,1
Altinn/altinn-broker,1
shay-te/core-lib,1
datastax/cassandra,1
openadaptai/openadapt,1
technotog/getentry,1
pydata/xarray,1
dwyl/imgup,1
gcarlos64/linux,1
osrsb/osrsbot,1
prometheus-operator/website,1
tisunion/primebackup,1
paul-gauthier/aider,1
hyprwm/hyprland,1
gemini-hlsw/scheduler,1
scratchdata/scratchdata,1
opensalamander/salamander,1
siv3d/opensiv3d,1
comfyanonymous/comfyui,1
daeuniverse/dae-wing,1
jhu-bids/termhub,1
microsoft/visionmetrics,1
ubiquity/ubiquity-dollar,1
rails/rails,1
monarch-initiative/mondo,1
creditmutuelarkea/tock,1
omegamaster86/calling,1
rupertbenwiser/web-environment-integrity,1
reworkd/AgentGPT,1
snapshot-labs/snapshot,1
nickbabcock/OhmGraphite,1
shakacode/shakapacker,1
skrub-data/skrub,1
ogawa-shotaro/Todo-App,1
strictphp/http-clients,1
daeuniverse/dae,1
sign-language-processing/sign-language-processing.github.io,1
gnosis/prediction-market-agent-tooling,1
boostcampwm2023/baekjoonrooms,1
admiralbolt/sms,1
energietransitie/twomes-p1-reader-firmware,1
clojure-emacs/cider,1
notenoughupdates/notenoughupdates,1
fixmyberlin/atlas-app,1
labdao/plex,1
sleepyrias/bettersteam,1
mirraj2/ox,1
