Family,Gate,Scenario,Specification,N,Term,Metric,Estimate,CI_Low,CI_High,p_value,Significant_0_05,Direction,Formatted
Dominant repository sensitivity,Gate 0,Exclude largest repository,C/S/V + PR size,208,Context,OR,1.981218103611542,1.0387303871382043,3.7788681477707255,0.037958293544889415,True,positive,"1.98* [1.04, 3.78]"
Dominant repository sensitivity,Gate 0,Exclude largest repository,C/S/V + PR size,208,Specificity,OR,63.08424482264915,8.522288593030922,466.966343770412,4.95195560252057e-05,True,positive,"63.08*** [8.52, 466.97]"
Dominant repository sensitivity,Gate 0,Exclude largest repository,C/S/V + PR size,208,Verification,OR,0.8895665321653081,0.42300930100222417,1.8707120937382211,0.757664573996582,False,negative,"0.89 [0.42, 1.87]"
Dominant repository sensitivity,Gate 0,Exclude largest repository,C/S/V + PR size,208,Log_PR_Size,OR,1.0993697513467418,0.8992228055373875,1.3440649444537973,0.3555049602298497,False,positive,"1.10 [0.90, 1.34]"
Dominant repository sensitivity,Gate 0,Exclude top 5 repositories,C/S/V + PR size,188,Context,OR,1.9195571109392828,0.9845977565094655,3.7423399330304523,0.05556972848990315,False,positive,"1.92 [0.98, 3.74]"
Dominant repository sensitivity,Gate 0,Exclude top 5 repositories,C/S/V + PR size,188,Specificity,OR,53.276131354436465,7.145931585272781,397.1975015748517,0.00010507671777749122,True,positive,"53.28*** [7.15, 397.20]"
Dominant repository sensitivity,Gate 0,Exclude top 5 repositories,C/S/V + PR size,188,Verification,OR,0.9077729842223864,0.41588494635299794,1.9814417379381943,0.8080394822975648,False,negative,"0.91 [0.42, 1.98]"
Dominant repository sensitivity,Gate 0,Exclude top 5 repositories,C/S/V + PR size,188,Log_PR_Size,OR,1.0996221149753873,0.8902208134970119,1.3582796283913243,0.37827224044962215,False,positive,"1.10 [0.89, 1.36]"
Dominant repository sensitivity,Gate 1,Exclude largest repository,C/S/V + PR size,135,Context,OR,2.18963314434494,0.9450539647511277,5.073248180146517,0.06752839799594877,False,positive,"2.19 [0.95, 5.07]"
Dominant repository sensitivity,Gate 1,Exclude largest repository,C/S/V + PR size,135,Specificity,OR,0.7895679865478138,0.2898093493015814,2.151130068383086,0.6440569630363531,False,negative,"0.79 [0.29, 2.15]"
Dominant repository sensitivity,Gate 1,Exclude largest repository,C/S/V + PR size,135,Verification,OR,8.58932249339103,3.554429755642078,20.756201688432583,1.778556927076267e-06,True,positive,"8.59*** [3.55, 20.76]"
Dominant repository sensitivity,Gate 1,Exclude largest repository,C/S/V + PR size,135,Log_PR_Size,OR,1.320639706204249,1.047561640684938,1.6649036828638453,0.018617672150164088,True,positive,"1.32* [1.05, 1.66]"
Dominant repository sensitivity,Gate 1,Exclude top 5 repositories,C/S/V + PR size,121,Context,OR,2.364335621242416,0.9728267368645376,5.74622665891445,0.05754327163885499,False,positive,"2.36 [0.97, 5.75]"
Dominant repository sensitivity,Gate 1,Exclude top 5 repositories,C/S/V + PR size,121,Specificity,OR,0.7553766328515406,0.26423320192353905,2.159432854404283,0.6006464172776702,False,negative,"0.76 [0.26, 2.16]"
Dominant repository sensitivity,Gate 1,Exclude top 5 repositories,C/S/V + PR size,121,Verification,OR,7.6912640442465685,3.0321569825129537,19.509393128219198,1.7413535297661602e-05,True,positive,"7.69*** [3.03, 19.51]"
Dominant repository sensitivity,Gate 1,Exclude top 5 repositories,C/S/V + PR size,121,Log_PR_Size,OR,1.3642841330528803,1.0683142872288105,1.7422505885678599,0.012789145629160182,True,positive,"1.36* [1.07, 1.74]"
Dominant repository sensitivity,Gate 2,Exclude largest repository,C/S/V + PR size,83,Context,AME,0.13373972184467298,-0.10373426340957968,0.37121370709892565,0.2696776151884708,False,positive,"0.134 [-0.104, 0.371]"
Dominant repository sensitivity,Gate 2,Exclude largest repository,C/S/V + PR size,83,Specificity,AME,-0.0017561361613114086,-0.24245691044500844,0.23894463812238567,0.9885908300305214,False,negative,"-0.002 [-0.242, 0.239]"
Dominant repository sensitivity,Gate 2,Exclude largest repository,C/S/V + PR size,83,Verification,AME,-0.01626601382199528,-0.23638405132769144,0.20385202368370087,0.8848411285543876,False,negative,"-0.016 [-0.236, 0.204]"
Dominant repository sensitivity,Gate 2,Exclude largest repository,C/S/V + PR size,83,Log_PR_Size,AME,-0.034844614423305685,-0.09853871770563478,0.028849488859023414,0.28362053907737594,False,negative,"-0.035 [-0.099, 0.029]"
Dominant repository sensitivity,Gate 2,Exclude top 5 repositories,C/S/V + PR size,71,Context,AME,0.09809352023470247,-0.15300072331210923,0.34918776378151417,0.4438621641718654,False,positive,"0.098 [-0.153, 0.349]"
Dominant repository sensitivity,Gate 2,Exclude top 5 repositories,C/S/V + PR size,71,Specificity,AME,0.05288459551444638,-0.2017199164419206,0.30748910747081337,0.6839276038469205,False,positive,"0.053 [-0.202, 0.307]"
Dominant repository sensitivity,Gate 2,Exclude top 5 repositories,C/S/V + PR size,71,Verification,AME,-0.06485875449241704,-0.3036350948541829,0.1739175858693488,0.5944597173289077,False,negative,"-0.065 [-0.304, 0.174]"
Dominant repository sensitivity,Gate 2,Exclude top 5 repositories,C/S/V + PR size,71,Log_PR_Size,AME,-0.03985196731292789,-0.10889855477700788,0.029194620151152113,0.2579531211030942,False,negative,"-0.040 [-0.109, 0.029]"
