Family,Gate,Scenario,Specification,N,Term,Metric,Estimate,CI_Low,CI_High,p_value,Significant_0_05,Direction,Formatted
PR-size outlier sensitivity,Gate 1,Exclude top 1% PR size,C/S/V + PR size,139,Context,OR,2.082923480324531,0.8979398336543215,4.831693686235853,0.08741291100982189,False,positive,"2.08 [0.90, 4.83]"
PR-size outlier sensitivity,Gate 1,Exclude top 1% PR size,C/S/V + PR size,139,Specificity,OR,0.9356699753478475,0.33131389340004724,2.642443677151622,0.9001055008008352,False,negative,"0.94 [0.33, 2.64]"
PR-size outlier sensitivity,Gate 1,Exclude top 1% PR size,C/S/V + PR size,139,Verification,OR,7.833666397313886,3.2219568547996293,19.04629142782889,5.597729375654006e-06,True,positive,"7.83*** [3.22, 19.05]"
PR-size outlier sensitivity,Gate 1,Exclude top 1% PR size,C/S/V + PR size,139,Log_PR_Size,OR,1.403349392472758,1.102359683864787,1.7865217189811706,0.005938251000963349,True,positive,"1.40** [1.10, 1.79]"
PR-size outlier sensitivity,Gate 1,Exclude top 5% PR size,C/S/V + PR size,134,Context,OR,2.2539138149626545,0.9585942137525529,5.299559930987512,0.062459293392736925,False,positive,"2.25 [0.96, 5.30]"
PR-size outlier sensitivity,Gate 1,Exclude top 5% PR size,C/S/V + PR size,134,Specificity,OR,0.9139814067646189,0.32358426916041805,2.5815903043707547,0.8651847582001706,False,negative,"0.91 [0.32, 2.58]"
PR-size outlier sensitivity,Gate 1,Exclude top 5% PR size,C/S/V + PR size,134,Verification,OR,7.807700410114544,3.198498414699596,19.059001378253996,6.377854437993767e-06,True,positive,"7.81*** [3.20, 19.06]"
PR-size outlier sensitivity,Gate 1,Exclude top 5% PR size,C/S/V + PR size,134,Log_PR_Size,OR,1.386509810759783,1.076537484116885,1.7857338770791968,0.011367094285814429,True,positive,"1.39* [1.08, 1.79]"
PR-size outlier sensitivity,Gate 2,Exclude top 1% PR size,C/S/V + PR size,88,Context,AME,0.1331786551225061,-0.1018684976293035,0.3682258078743157,0.2667735424894788,False,positive,"0.133 [-0.102, 0.368]"
PR-size outlier sensitivity,Gate 2,Exclude top 1% PR size,C/S/V + PR size,88,Specificity,AME,-0.012738452850890343,-0.24456716781067475,0.21909026210889404,0.914237241167376,False,negative,"-0.013 [-0.245, 0.219]"
PR-size outlier sensitivity,Gate 2,Exclude top 1% PR size,C/S/V + PR size,88,Verification,AME,-0.009259806421285672,-0.21939073025977066,0.20087111741719932,0.9311727513124809,False,negative,"-0.009 [-0.219, 0.201]"
PR-size outlier sensitivity,Gate 2,Exclude top 1% PR size,C/S/V + PR size,88,Log_PR_Size,AME,-0.03869101375440781,-0.10118940032262372,0.023807372813808098,0.22499251106693507,False,negative,"-0.039 [-0.101, 0.024]"
PR-size outlier sensitivity,Gate 2,Exclude top 5% PR size,C/S/V + PR size,84,Context,AME,0.1477844719972949,-0.09563036709405824,0.391199311088648,0.23406482581813337,False,positive,"0.148 [-0.096, 0.391]"
PR-size outlier sensitivity,Gate 2,Exclude top 5% PR size,C/S/V + PR size,84,Specificity,AME,-0.01274633469872138,-0.24832201747959443,0.22282934808215168,0.9155441776603357,False,negative,"-0.013 [-0.248, 0.223]"
PR-size outlier sensitivity,Gate 2,Exclude top 5% PR size,C/S/V + PR size,84,Verification,AME,-0.0009719286884439869,-0.22317385157766645,0.22122999420077852,0.9931597902203949,False,negative,"-0.001 [-0.223, 0.221]"
PR-size outlier sensitivity,Gate 2,Exclude top 5% PR size,C/S/V + PR size,84,Log_PR_Size,AME,-0.040218571318989545,-0.10948095774292758,0.029043815104948516,0.2550821683380372,False,negative,"-0.040 [-0.109, 0.029]"
PR-size outlier sensitivity,Axis B merge hazard,Exclude top 1% PR size; cutoff=19144.00; removed=3,Cox PH,258,Context,HR,1.0290280845131154,0.805731057992346,1.3142087402652787,0.8186562801332344,False,positive,"1.03 [0.81, 1.31]"
PR-size outlier sensitivity,Axis B merge hazard,Exclude top 1% PR size; cutoff=19144.00; removed=3,Cox PH,258,Specificity,HR,1.0644362288906624,0.8100090134379282,1.3987800957498846,0.6541023334173379,False,positive,"1.06 [0.81, 1.40]"
PR-size outlier sensitivity,Axis B merge hazard,Exclude top 1% PR size; cutoff=19144.00; removed=3,Cox PH,258,Verification,HR,0.8476556129875225,0.6513589512849162,1.1031091793731393,0.21876567654627488,False,negative,"0.85 [0.65, 1.10]"
PR-size outlier sensitivity,Axis B merge hazard,Exclude top 1% PR size; cutoff=19144.00; removed=3,Cox PH,258,Log_PR_Size,HR,0.9372268562847912,0.8759505557165932,1.0027896830579441,0.06021076339056575,False,negative,"0.94 [0.88, 1.00]"
PR-size outlier sensitivity,Axis B close hazard,Exclude top 1% PR size; cutoff=19144.00; removed=3,Cox PH,258,Context,HR,1.621678205759819,0.8857288555477036,2.969125581225628,0.1171712436438203,False,positive,"1.62 [0.89, 2.97]"
PR-size outlier sensitivity,Axis B close hazard,Exclude top 1% PR size; cutoff=19144.00; removed=3,Cox PH,258,Specificity,HR,0.6334553605977674,0.3410339146725657,1.1766152180357536,0.1484062359043441,False,negative,"0.63 [0.34, 1.18]"
PR-size outlier sensitivity,Axis B close hazard,Exclude top 1% PR size; cutoff=19144.00; removed=3,Cox PH,258,Verification,HR,1.707017008432445,0.9926559494455617,2.9354652724392456,0.05319309536243404,False,positive,"1.71 [0.99, 2.94]"
PR-size outlier sensitivity,Axis B close hazard,Exclude top 1% PR size; cutoff=19144.00; removed=3,Cox PH,258,Log_PR_Size,HR,0.7746039194588408,0.6693563637124897,0.8964002802828699,0.0006083214992989806,True,negative,"0.77*** [0.67, 0.90]"
