Family,Gate,Scenario,N_before,N_after,Removed
Dominant repository sensitivity,Gate 0,Exclude largest repository,215,205,VOICEVOX/voicevox
Dominant repository sensitivity,Gate 0,Exclude top 5 repositories,215,185,VOICEVOX/voicevox; UNLV-CS472-672/2024-S-GROUP3-Barbell; VOICEVOX/voicevox_core; darklang/dark; open-learning-exchange/myplanet
Dominant repository sensitivity,Gate 1,Exclude largest repository,140,134,UNLV-CS472-672/2024-S-GROUP3-Barbell
Dominant repository sensitivity,Gate 1,Exclude top 5 repositories,140,120,UNLV-CS472-672/2024-S-GROUP3-Barbell; open-learning-exchange/myplanet; VOICEVOX/voicevox; pyspark-ai/pyspark-ai; darklang/dark
Dominant repository sensitivity,Gate 2,Exclude largest repository,88,82,UNLV-CS472-672/2024-S-GROUP3-Barbell
Dominant repository sensitivity,Gate 2,Exclude top 5 repositories,88,70,UNLV-CS472-672/2024-S-GROUP3-Barbell; UNLV-CS472-672/2024-S-GROUP1-Roadwatch; pyspark-ai/pyspark-ai; VOICEVOX/voicevox; open-learning-exchange/myplanet
Language sensitivity,Gate 0,Exclude dominant language,215,155,TypeScript
Language sensitivity,Gate 0,Exclude top 2 languages,215,124,TypeScript; Python
Language sensitivity,Gate 1,Exclude dominant language,140,101,TypeScript
Language sensitivity,Gate 1,Exclude top 2 languages,140,78,TypeScript; Python
Language sensitivity,Gate 2,Exclude dominant language,88,58,TypeScript
Language sensitivity,Gate 2,Exclude top 2 languages,88,45,TypeScript; Python
PR-size outlier sensitivity,Gate 1,Exclude top 1% PR size,140,138,PR_Size > 10543.95; removed 2
PR-size outlier sensitivity,Gate 1,Exclude top 5% PR size,140,133,PR_Size > 2726.70; removed 7
PR-size outlier sensitivity,Gate 2,Exclude top 1% PR size,88,87,PR_Size > 9832.53; removed 1
PR-size outlier sensitivity,Gate 2,Exclude top 5% PR size,88,83,PR_Size > 3913.30; removed 5
