Dimension,Outcome_Class,Score,Count
Context,CL,0.0,2
Context,CL,1.0,12
Context,CL,2.0,29
Context,CL,,4
Context,NE,0.0,15
Context,NE,1.0,40
Context,NE,2.0,24
Context,NE,,5
Context,PA,1.0,25
Context,PA,2.0,63
Context,PA,,1
Context,PN,0.0,1
Context,PN,1.0,26
Context,PN,2.0,26
Specificity,CL,0.0,4
Specificity,CL,1.0,30
Specificity,CL,2.0,9
Specificity,CL,,4
Specificity,NE,0.0,31
Specificity,NE,1.0,48
Specificity,NE,,5
Specificity,PA,1.0,55
Specificity,PA,2.0,34
Specificity,PN,1.0,40
Specificity,PN,2.0,13
Verification,CL,0.0,11
Verification,CL,1.0,30
Verification,CL,2.0,2
Verification,CL,,4
Verification,NE,0.0,52
Verification,NE,1.0,27
Verification,NE,,5
Verification,PA,0.0,21
Verification,PA,1.0,60
Verification,PA,2.0,8
Verification,PN,0.0,38
Verification,PN,1.0,15
