Model,Variable,HR,CI_Low,CI_High,p_value,Formatted
Merge Hazard,Context (C),1.0210636422131747,0.7997643493448474,1.303597693875314,0.8671746016069095,"1.02 [0.80, 1.30]"
Merge Hazard,Specificity (S),1.0703073076890532,0.8145314016482514,1.4064009448555175,0.6257916184449932,"1.07 [0.81, 1.41]"
Merge Hazard,Verification (V),0.8400800254709467,0.6456806350632941,1.0930085414844222,0.19438852073620216,"0.84 [0.65, 1.09]"
Merge Hazard,Log(PR Size),0.932050621255957,0.8729235169626489,0.9951826748880984,0.03534235308771653,"0.93* [0.87, 1.00]"
Merge Hazard,Observations,261.0,,,,261
Close Hazard,Context (C),1.7230252751122208,0.9477234384477529,3.13257642286243,0.07443158785835338,"1.72 [0.95, 3.13]"
Close Hazard,Specificity (S),0.6318685593825272,0.34405828127362814,1.1604367575696344,0.13881323382551491,"0.63 [0.34, 1.16]"
Close Hazard,Verification (V),1.76797260689473,1.0257611094864922,3.0472271855724005,0.04021115007148893,"1.77* [1.03, 3.05]"
Close Hazard,Log(PR Size),0.8285827018174977,0.7196137270543378,0.954052525598005,0.008953310374297132,"0.83** [0.72, 0.95]"
Close Hazard,Observations,261.0,,,,261
