Model,Variable,OR,CI_Low,CI_High,p_value,Formatted,AME,HR
(1) Baseline,Context (C),2.162900782734696,1.1410983723753068,4.099681420293643,0.018053362676881228,"2.16* [1.14, 4.10]",,
(1) Baseline,Specificity (S),62.96286678290001,8.52202659500964,465.1854285273711,4.910614864685857e-05,"62.96*** [8.52, 465.19]",,
(1) Baseline,Verification (V),0.9027955249983611,0.4342770016689895,1.8767739411130464,0.7841818316883173,"0.90 [0.43, 1.88]",,
(1) Baseline,Observations,218.0,,,,218,,
(2) + PR Size,Context (C),2.1430884320030823,1.1283681187901098,4.070327715666124,0.01986054652916575,"2.14* [1.13, 4.07]",,
(2) + PR Size,Specificity (S),65.83838188149507,8.898159455110696,487.1448472733235,4.120836426963269e-05,"65.84*** [8.90, 487.14]",,
(2) + PR Size,Verification (V),0.9038550570476777,0.4336194010233506,1.8840346216581465,0.7873593203812566,"0.90 [0.43, 1.88]",,
(2) + PR Size,Log(PR Size),1.115434678526374,0.9139392741853133,1.3613536010566043,0.2825170537635767,"1.12 [0.91, 1.36]",,
(2) + PR Size,Observations,218.0,,,,218,,
(1) Baseline,Context (C),2.2840000558011706,1.023581637833742,5.096473072670613,0.0437079517303511,"2.28* [1.02, 5.10]",,
(1) Baseline,Specificity (S),0.6062064906878285,0.2320330974970133,1.5837667699832456,0.30699698311100243,"0.61 [0.23, 1.58]",,
(1) Baseline,Verification (V),7.781273014128566,3.3972016275944434,17.82296618151558,1.221368824037284e-06,"7.78*** [3.40, 17.82]",,
(1) Baseline,Observations,141.0,,,,141,,
(2) + PR Size,Context (C),2.218866345738512,0.9663975519728403,5.094557462609698,0.06019460068362385,"2.22 [0.97, 5.09]",,
(2) + PR Size,Specificity (S),0.7926249537817063,0.2924399560663992,2.1483190115608046,0.6477898762348049,"0.79 [0.29, 2.15]",,
(2) + PR Size,Verification (V),8.45432467067809,3.4978121790273455,20.434374968958963,2.129420082773755e-06,"8.45*** [3.50, 20.43]",,
(2) + PR Size,Log(PR Size),1.3613066053318916,1.081919196570203,1.712841106429145,0.008494008012775289,"1.36** [1.08, 1.71]",,
(2) + PR Size,Observations,141.0,,,,141,,
,Context (C),,0.01608286402682152,0.23335756405859176,0.024441297481438775,"0.125* [0.016, 0.233]",0.12472021404270664,
,Specificity (S),,-0.1313963128702554,0.10454227998253583,0.8234740486933142,"-0.013 [-0.131, 0.105]",-0.013427016443859793,
,Verification (V),,-0.10578111808883253,0.08940345641115297,0.8693707597545418,"-0.008 [-0.106, 0.089]",-0.008188830838839778,
,Log(PR Size),,-0.07432734795158333,0.0023925980177866846,0.06610417485121729,"-0.036 [-0.074, 0.002]",-0.03596737496689832,
,Observations,,,,,89,89.0,
Merge Hazard,Context (C),,0.7997643493448474,1.303597693875314,0.8671746016069095,"1.02 [0.80, 1.30]",,1.0210636422131747
Merge Hazard,Specificity (S),,0.8145314016482514,1.4064009448555175,0.6257916184449932,"1.07 [0.81, 1.41]",,1.0703073076890532
Merge Hazard,Verification (V),,0.6456806350632941,1.0930085414844222,0.19438852073620216,"0.84 [0.65, 1.09]",,0.8400800254709467
Merge Hazard,Log(PR Size),,0.8729235169626489,0.9951826748880984,0.03534235308771653,"0.93* [0.87, 1.00]",,0.932050621255957
Merge Hazard,Observations,,,,,261,,261.0
Close Hazard,Context (C),,0.9477234384477529,3.13257642286243,0.07443158785835338,"1.72 [0.95, 3.13]",,1.7230252751122208
Close Hazard,Specificity (S),,0.34405828127362814,1.1604367575696344,0.13881323382551491,"0.63 [0.34, 1.16]",,0.6318685593825272
Close Hazard,Verification (V),,1.0257611094864922,3.0472271855724005,0.04021115007148893,"1.77* [1.03, 3.05]",,1.76797260689473
Close Hazard,Log(PR Size),,0.7196137270543378,0.954052525598005,0.008953310374297132,"0.83** [0.72, 0.95]",,0.8285827018174977
Close Hazard,Observations,,,,,261,,261.0
