Gate,Scenario,Specification,N,Term,Metric,Estimate,CI_Low,CI_High,p_value,Formatted
Gate 0,Exclude dominant language,CSV dimensions,154,Context,OR,2.3488810330835763,1.2283472638344062,4.491597995144433,0.009829194878704275,"2.35** [1.23, 4.49]"
Gate 0,Exclude dominant language,CSV dimensions,154,Specificity,OR,5.367914094529379,2.3496979956809994,12.263066053259333,6.70061122911986e-05,"5.37*** [2.35, 12.26]"
Gate 0,Exclude dominant language,CSV dimensions,154,Verification,OR,0.7378957434574819,0.340223766289886,1.6003882801906903,0.44160399981994425,"0.74 [0.34, 1.60]"
Gate 0,Exclude dominant language,Aggregate PQS,154,PQS,OR,2.074991641864926,1.511138318471142,2.8492364075350682,6.425551503867279e-06,"2.07*** [1.51, 2.85]"
Gate 1,Exclude dominant language,CSV dimensions,100,Context,OR,2.4437949223885593,0.8925242272085806,6.691284606772286,0.08208441913836137,"2.44 [0.89, 6.69]"
Gate 1,Exclude dominant language,CSV dimensions,100,Specificity,OR,5.524585424223014,1.4905168327315492,20.476819475835068,0.01055564074087531,"5.52* [1.49, 20.48]"
Gate 1,Exclude dominant language,CSV dimensions,100,Verification,OR,4.662349925779536,1.5744323340931,13.806567840171816,0.005445673738801432,"4.66** [1.57, 13.81]"
Gate 1,Exclude dominant language,Aggregate PQS,100,PQS,OR,3.9845095383257765,2.3124017096259233,6.865725879253653,6.374935716943973e-07,"3.98*** [2.31, 6.87]"
Gate 2,Exclude dominant language,CSV dimensions,57,Context,AME,0.14523152209648751,-0.025924839296577372,0.31638788348955244,0.09628816515144137,"0.145 [-0.026, 0.316]"
Gate 2,Exclude dominant language,CSV dimensions,57,Specificity,AME,0.03613734163523784,-0.1448149717307382,0.21708965500121388,0.6954834006151944,"0.036 [-0.145, 0.217]"
Gate 2,Exclude dominant language,CSV dimensions,57,Verification,AME,-0.043327577212737424,-0.1807323864467208,0.09407723202124595,0.5365471340697212,"-0.043 [-0.181, 0.094]"
Gate 2,Exclude dominant language,Aggregate PQS,57,PQS,AME,0.026537288501488614,-0.030936473899222255,0.08401105090219949,0.36547155854777624,"0.027 [-0.031, 0.084]"
