Gate,Model,Outcome,N,Repositories,Term,Estimate,p_value,Status
Gate0,repository_random_intercept_lmm,Generated_Code,214,159,Intercept,0.08170644507646507,0.4648526123169793,estimated_linear_mixed_effects_approximation
Gate0,repository_random_intercept_lmm,Generated_Code,214,159,Context,0.18848168208183502,0.0001026252553875981,estimated_linear_mixed_effects_approximation
Gate0,repository_random_intercept_lmm,Generated_Code,214,159,Specificity,0.2908138101163881,1.153191216243543e-07,estimated_linear_mixed_effects_approximation
Gate0,repository_random_intercept_lmm,Generated_Code,214,159,Verification,-0.01635290611022553,0.7744071158711923,estimated_linear_mixed_effects_approximation
Gate0,repository_random_intercept_lmm,Generated_Code,214,159,Log_PR_Size,0.0051460126823184935,0.7347591699542058,estimated_linear_mixed_effects_approximation
Gate0,repository_random_intercept_lmm,Generated_Code,214,159,Group Var,0.2975984833925887,0.18986028995297544,estimated_linear_mixed_effects_approximation
Gate1,repository_random_intercept_lmm,Adopted_Code,139,111,Intercept,-0.3427251282429587,0.03543223555519549,estimated_linear_mixed_effects_approximation
Gate1,repository_random_intercept_lmm,Adopted_Code,139,111,Context,0.13202254025596075,0.05001349958822973,estimated_linear_mixed_effects_approximation
Gate1,repository_random_intercept_lmm,Adopted_Code,139,111,Specificity,0.2614158573230852,0.0004906824103787621,estimated_linear_mixed_effects_approximation
Gate1,repository_random_intercept_lmm,Adopted_Code,139,111,Verification,0.19502034339532887,0.005719671862868419,estimated_linear_mixed_effects_approximation
Gate1,repository_random_intercept_lmm,Adopted_Code,139,111,Log_PR_Size,0.059178634067869704,0.0013973079756362855,estimated_linear_mixed_effects_approximation
Gate1,repository_random_intercept_lmm,Adopted_Code,139,111,Group Var,0.2977106336154083,0.47218870137435964,estimated_linear_mixed_effects_approximation
Gate2,repository_random_intercept_lmm,Fraction_Adopted,87,69,Intercept,40.442867094617874,0.0013243155217006952,estimated_linear_mixed_effects_approximation
Gate2,repository_random_intercept_lmm,Fraction_Adopted,87,69,Context,10.769481273307944,0.011465034896496898,estimated_linear_mixed_effects_approximation
Gate2,repository_random_intercept_lmm,Fraction_Adopted,87,69,Specificity,-3.238677814226694,0.464346208210332,estimated_linear_mixed_effects_approximation
Gate2,repository_random_intercept_lmm,Fraction_Adopted,87,69,Verification,-2.16809704980929,0.5798949384876781,estimated_linear_mixed_effects_approximation
Gate2,repository_random_intercept_lmm,Fraction_Adopted,87,69,Log_PR_Size,-4.254574382567905,0.0019330729304410967,estimated_linear_mixed_effects_approximation
Gate2,repository_random_intercept_lmm,Fraction_Adopted,87,69,Group Var,4.911619836494642,0.025331640955436517,estimated_linear_mixed_effects_approximation
