Gate,Scenario,Specification,N,Term,Metric,Estimate,CI_Low,CI_High,p_value,Formatted
Gate 0,Main sample,Aggregate PQS,214,PQS,OR,2.574515669274821,1.9196287938834788,3.4528190827626775,2.712172569361349e-10,"2.57*** [1.92, 3.45]"
Gate 0,Exclude dominant repository,Aggregate PQS,204,PQS,OR,2.450145181700634,1.815836990665951,3.3060299147277417,4.558863879371956e-09,"2.45*** [1.82, 3.31]"
Gate 0,Exclude extreme PR size,Aggregate PQS,203,PQS,OR,2.6702922019678432,1.9708290789537235,3.6180004243065564,2.328196902421316e-10,"2.67*** [1.97, 3.62]"
Gate 0,Exclude dominant language,Aggregate PQS,154,PQS,OR,2.074991641864926,1.511138318471142,2.8492364075350682,6.425551503867279e-06,"2.07*** [1.51, 2.85]"
Gate 1,Main sample,Aggregate PQS,139,PQS,OR,3.6714285788271264,2.3327365874287374,5.778358294746965,1.9046153323701188e-08,"3.67*** [2.33, 5.78]"
Gate 1,Exclude dominant repository,Aggregate PQS,133,PQS,OR,3.6627694766596552,2.315555828976695,5.793805561180736,2.8781100712590234e-08,"3.66*** [2.32, 5.79]"
Gate 1,Exclude extreme PR size,Aggregate PQS,132,PQS,OR,3.6772019261391673,2.320740543052531,5.826508286797111,2.9396334165964153e-08,"3.68*** [2.32, 5.83]"
Gate 1,Exclude dominant language,Aggregate PQS,100,PQS,OR,3.9845095383257765,2.3124017096259233,6.865725879253653,6.374935716943973e-07,"3.98*** [2.31, 6.87]"
Gate 2,Main sample,Aggregate PQS,87,PQS,AME,0.01735534022527547,-0.02592391520534113,0.06063459565589207,0.43188140183897805,"0.017 [-0.026, 0.061]"
Gate 2,Exclude dominant repository,Aggregate PQS,81,PQS,AME,0.019722818778111724,-0.029347255398751732,0.06879289295497518,0.43082180380155977,"0.020 [-0.029, 0.069]"
Gate 2,Exclude extreme PR size,Aggregate PQS,82,PQS,AME,0.02456591064663713,-0.024666734682027805,0.07379855597530206,0.3280777624474035,"0.025 [-0.025, 0.074]"
Gate 2,Exclude dominant language,Aggregate PQS,57,PQS,AME,0.026537288501488614,-0.030936473899222255,0.08401105090219949,0.36547155854777624,"0.027 [-0.031, 0.084]"
