Gate,Scenario,Specification,N,Term,Metric,Estimate,CI_Low,CI_High,p_value,Formatted
Gate 0,Main sample,CSV dimensions,214,Context,OR,3.0872760382641276,1.7147549015475398,5.558388156720251,0.00017166047953792474,"3.09*** [1.71, 5.56]"
Gate 0,Main sample,CSV dimensions,214,Specificity,OR,5.917527734508369,2.818408234458722,12.424436623674863,2.6283977636935914e-06,"5.92*** [2.82, 12.42]"
Gate 0,Main sample,CSV dimensions,214,Verification,OR,0.947243268641266,0.4727104815811719,1.8981381732533347,0.8785314719413011,"0.95 [0.47, 1.90]"
Gate 0,Exclude dominant repository,CSV dimensions,204,Context,OR,2.793182154806266,1.5380109411601868,5.072698991362763,0.0007408365990612493,"2.79*** [1.54, 5.07]"
Gate 0,Exclude dominant repository,CSV dimensions,204,Specificity,OR,5.7760924842918,2.745132592957544,12.153600329792232,3.826633409856416e-06,"5.78*** [2.75, 12.15]"
Gate 0,Exclude dominant repository,CSV dimensions,204,Verification,OR,0.928022337217624,0.4606793813420439,1.8694682098989386,0.8344098901789314,"0.93 [0.46, 1.87]"
Gate 0,Exclude extreme PR size,CSV dimensions,203,Context,OR,3.1159014852774116,1.7041266893839715,5.697253688024598,0.00022316565044558535,"3.12*** [1.70, 5.70]"
Gate 0,Exclude extreme PR size,CSV dimensions,203,Specificity,OR,5.892763829748215,2.7401394143333144,12.672590807441631,5.622453536193039e-06,"5.89*** [2.74, 12.67]"
Gate 0,Exclude extreme PR size,CSV dimensions,203,Verification,OR,1.0369747385359247,0.5055724882317225,2.126928647012913,0.9210910132653023,"1.04 [0.51, 2.13]"
Gate 0,Exclude dominant language,CSV dimensions,154,Context,OR,2.3488810330835763,1.2283472638344062,4.491597995144433,0.009829194878704275,"2.35** [1.23, 4.49]"
Gate 0,Exclude dominant language,CSV dimensions,154,Specificity,OR,5.367914094529379,2.3496979956809994,12.263066053259333,6.70061122911986e-05,"5.37*** [2.35, 12.26]"
Gate 0,Exclude dominant language,CSV dimensions,154,Verification,OR,0.7378957434574819,0.340223766289886,1.6003882801906903,0.44160399981994425,"0.74 [0.34, 1.60]"
Gate 1,Main sample,CSV dimensions,139,Context,OR,2.009804066209931,0.8443733766378126,4.783798845764181,0.11464780256354731,"2.01 [0.84, 4.78]"
Gate 1,Main sample,CSV dimensions,139,Specificity,OR,6.820537287433125,2.154998320700892,21.58689797685575,0.0010904700835589404,"6.82** [2.15, 21.59]"
Gate 1,Main sample,CSV dimensions,139,Verification,OR,3.616421133546515,1.4318763286779415,9.133820814844606,0.006540426857173398,"3.62** [1.43, 9.13]"
Gate 1,Exclude dominant repository,CSV dimensions,133,Context,OR,1.976213999656817,0.8230407959667597,4.745113233241629,0.12745939412377316,"1.98 [0.82, 4.75]"
Gate 1,Exclude dominant repository,CSV dimensions,133,Specificity,OR,6.483249405305865,2.042914618391843,20.574781967386542,0.001511939132605903,"6.48** [2.04, 20.57]"
Gate 1,Exclude dominant repository,CSV dimensions,133,Verification,OR,3.734072955983704,1.4715492489680204,9.475252595444662,0.00555276456735874,"3.73** [1.47, 9.48]"
Gate 1,Exclude extreme PR size,CSV dimensions,132,Context,OR,2.0550139145117146,0.8404076175641827,5.02504035015394,0.11437100596104373,"2.06 [0.84, 5.03]"
Gate 1,Exclude extreme PR size,CSV dimensions,132,Specificity,OR,7.415906748733019,2.291882851941002,23.995848155732727,0.000824952823254924,"7.42*** [2.29, 24.00]"
Gate 1,Exclude extreme PR size,CSV dimensions,132,Verification,OR,3.29564962978327,1.2714405631689576,8.542520033512,0.014121904243691724,"3.30* [1.27, 8.54]"
Gate 1,Exclude dominant language,CSV dimensions,100,Context,OR,2.4437949223885593,0.8925242272085806,6.691284606772286,0.08208441913836137,"2.44 [0.89, 6.69]"
Gate 1,Exclude dominant language,CSV dimensions,100,Specificity,OR,5.524585424223014,1.4905168327315492,20.476819475835068,0.01055564074087531,"5.52* [1.49, 20.48]"
Gate 1,Exclude dominant language,CSV dimensions,100,Verification,OR,4.662349925779536,1.5744323340931,13.806567840171816,0.005445673738801432,"4.66** [1.57, 13.81]"
Gate 2,Main sample,CSV dimensions,87,Context,AME,0.13764130293627874,0.02890664494847421,0.24637596092408323,0.013099318942143426,"0.138* [0.029, 0.246]"
Gate 2,Main sample,CSV dimensions,87,Specificity,AME,-0.02862615680728001,-0.15246478251850806,0.09521246890394804,0.6505000742779213,"-0.029 [-0.152, 0.095]"
